,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,Width,Time,species
2211,11803.0,2024.0,31919.0,3390.0,1258.0,458.0,31603.990234375,5912.00048828125,32252.013671875,3800.0,60.0,396.0,1
2212,9737.0,4287.0,48081.0,6632.0,2993.0,219.0,29397.005859375,5500.99755859375,48279.98828125,6479.0,64.0,441.0,1
2213,14773.0,6971.0,34010.0,4683.0,1871.0,0.0,27856.0,11989.998046875,33070.0078125,4368.0,64.0,484.0,1
2214,12821.0,3061.0,8792.0,1546.0,773.0,278.0,36733.015625,6540.00146484375,8818.0,1530.0,45.0,516.0,1
2215,28946.0,9016.0,132348.0,19404.0,5441.0,0.0,70955.0078125,13525.001953125,131376.984375,19426.0,66.0,485.0,1
2216,7409.0,1910.0,37397.0,4714.0,866.0,172.0,24145.990234375,3224.000244140625,37171.01171875,4942.0,59.0,554.0,1
2217,5768.0,3248.0,38396.0,5099.0,3486.0,129.0,14453.9970703125,4278.0,37315.0,5050.0,52.0,225.0,1
2218,1017.0,222.0,26079.0,3369.0,1060.0,0.0,13356.0009765625,2911.000244140625,28569.994140625,3527.0,53.0,157.0,6
2219,13720.0,5180.0,241368.0,35174.0,12045.0,1257.0,30976.994140625,7887.00244140625,234534.921875,34061.0,69.0,316.0,1
2220,10441.0,3818.0,8378.0,1247.0,896.0,103.0,31705.998046875,9990.998046875,8477.001953125,1088.0,38.0,571.0,1
2221,8840.0,2159.0,6542.0,1046.0,262.0,359.0,23202.998046875,4489.0,6706.00146484375,878.0,35.0,609.0,6
2222,4661.0,468.0,29396.0,4561.0,1063.0,471.0,15192.0009765625,2560.0,30342.0,4574.0,53.0,357.0,6
2223,12025.0,3766.0,35444.0,4845.0,1221.0,458.0,21863.0078125,6863.0,37705.9921875,5009.0,51.0,369.0,1
2224,20466.0,4373.0,66769.0,8643.0,2651.0,0.0,48489.984375,5642.99755859375,65673.9921875,8162.0,67.0,476.0,1
2225,9656.0,2791.0,21895.0,2981.0,1333.0,567.0,25355.994140625,4778.99853515625,18748.9921875,2477.0,47.0,464.0,1
2226,4835.0,729.0,33196.0,4259.0,1937.0,0.0,28949.005859375,2009.99951171875,33001.98828125,4583.0,55.0,469.0,6
2227,6650.0,3634.0,15395.0,1797.0,1198.0,210.0,13118.9990234375,7331.00244140625,15153.0048828125,1917.0,57.0,335.0,1
2228,7888.0,1364.0,39007.0,5192.0,2709.0,577.0,20135.0,2856.000732421875,38780.00390625,5037.0,55.0,607.0,1
